Irish Lamb Soup,2,6.0,95,41,4.6,21.9,268.2,6.5
Tomato Basil Raviolini Soup,2,6.0,114,53,5.9,13.1,394.8,2.1
Cannelini Beans,2,2.0,48,0,0.0,0.0,157.0,3.1
Corn Niblets,2,2.0,44,3,0.4,0.0,0.5,1.4
Crumbled Bleu Cheese,2,2.0,203,146,16.2,50.6,526.5,14.2
Flaked Tuna,2,2.0,72,15,1.7,23.6,28.1,13.3
Hard Cooked Eggs,2,1.0,78,45,5.0,240.8,72.8,6.7
Hummus,2,2.0,109,45,5.0,0.0,74.3,5.0
Peeled Baby Carrots,2,2.0,21,3,0.4,0.0,33.5,0.3
Roasted Broccoli,2,2.0,33,16,1.8,0.0,91.7,2.1
Roasted Button Mushrooms,2,2.0,29,16,1.8,0.0,76.0,2.1
Seasoned Chicken Breast,2,2.0,80,27,3.0,34.2,93.9,12.5
Sliced Cucumbers,2,2.0,6,1,0.1,0.0,1.0,0.3
Spinach Salad Base,2,2.0,12,1,0.1,0.0,36.9,1.6
Tofu,2,2.0,50,22,2.5,0.0,0.0,5.6
Tomato Wedges,2,2.0,12,2,0.2,0.0,5.1,0.5
Baked Salmon With Dill,2,4.0,253,160,17.7,62.4,164.5,22.6
Roast Beef w/Peppercorn Sauce,2,4.0,299,121,13.4,103.5,406.5,36.6
Portobello Lentil Patty with Tomato Basil Salsa,2,1.0,146,35,3.9,0.2,445.0,6.0
Florentine Rice,2,4.0,67,10,1.1,0.0,1325.0,1.5
Brussel Sprouts with Soy,2,4.0,60,16,1.8,0.0,389.6,3.5
Steamed Cauliflower,2,4.0,25,4,0.5,0.0,73.5,2.0
Cold Brew Coffee Frozen Yogurt,2,2.0,65,9,1.0,3.0,56.5,1.5
Jacqueline Cranberry Granola Nut Cookie,2,1.0,219,81,9.0,20.0,94.8,3.0
Vanilla Soft Serve Ice Cream,2,2.0,85,26,2.9,13.0,39.1,1.3
Herbed Oil,2,1.0,239,242,26.8,0.0,1.0,0.1
White Round Country Loaf,2,1.0,600,0,0.0,0.0,1520.0,20.0
White Bean & Fennel,2,4.0,108,30,3.3,0.0,354.2,5.1
Brown Rice,2,3.0,31,2,0.3,0.0,1.4,0.7
Moroccan Carrot Salad,2,4.0,110,36,4.0,0.0,240.0,1.0
Taco Nacho Salad,2,4.0,115,52,5.8,8.5,388.0,4.5
Creamy Grits with Mushtoom Bistro Bowl,2,1.0,473,320,35.5,109.4,229.6,10.3
Creamy Grits with Shrimp Bistro Bowl,2,1.0,556,343,38.0,247.7,845.3,23.5
Cracked Farro Salad,2,4.0,189,58,6.5,5.5,285.0,8.3
Pumpkin Quinoa Salad,2,4.0,210,118,13.1,6.7,185.3,4.4
Bananas,2,1.0,134,4,0.5,0.0,1.5,1.6
Local Apples,2,1.0,72,2,0.2,0.0,1.4,0.4
Oranges,2,1.0,59,2,0.2,0.0,1.2,1.1
Barilla Plus Spaghetti,2,4.0,152,14,1.6,0.0,20.0,8.0
Creamy Parmesan and Basil Pesto Sauce,2,4.0,215,167,18.5,53.2,291.1,4.7
Marinara Spaghetti Sauce,2,4.0,73,33,3.6,0.0,353.8,1.8
Carr's Assorted Crackers,2,1.0,886,320,35.4,0.0,1506.3,17.7
Apple Zings,3,1.0,130,9,1.0,0.0,0.0,0.0,150.1,29.0,1.0,15.0,1.0
Cinnamon Toasters,3,0.75,130,32,3.5,0.5,0.0,0.0,140.1,24.0,1.0,10.0,1.0
Cocoa Krispies,3,0.75,120,9,1.0,0.5,0.0,0.0,129.9,27.0,1.0,12.0,1.0
Colossal Crunch,3,0.75,113,13,1.4,0.5,0.0,0.0,225.1,24.4,0.9,12.2,0.9
Corn Chex,3,1.0,120,5,0.5,0.0,0.0,0.0,219.9,26.0,2.0,3.0,2.0
Cracklin' Oat Bran,3,0.75,200,63,7.0,3.0,0.0,0.0,135.0,34.0,6.0,14.0,4.0
Dried Fruit Medley,3,0.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frosted Mini Spooners,3,1.0,190,9,1.0,0.0,0.0,0.0,10.0,45.0,6.0,11.0,5.0
Hemp Granola,3,1.0,460,162,18.0,2.0,0.0,0.0,120.1,68.0,8.0,20.0,12.0
Honey Graham Squares,3,0.75,120,27,3.0,0.0,0.0,0.0,260.2,23.0,1.0,10.0,2.0
Honey Nut Toasty O's,3,1.0,120,14,1.5,0.0,0.0,0.0,210.2,24.0,2.0,9.0,3.0
Honey Oat Blenders,3,0.75,120,14,1.5,0.0,0.0,0.0,150.4,25.1,1.0,6.0,2.0
Kashi Heart to Heart,3,0.75,121,14,1.5,0.0,0.0,0.0,85.9,26.3,5.1,5.1,3.0
Life Cereal,3,0.75,120,14,1.5,0.0,0.0,0.0,160.1,25.0,2.0,6.0,3.0
Marshmallow Mateys,3,1.0,120,9,1.0,0.0,0.0,0.0,200.2,25.0,1.0,13.0,2.0
Multi Grain Chocolate Krave,3,0.75,120,32,3.5,1.0,0.0,0.0,99.9,23.0,3.0,10.0,2.0
Raisin Bran Crunch,3,1.0,190,9,1.0,0.0,0.0,0.0,199.9,45.0,4.0,19.0,4.0
Raisin Bran,3,1.0,200,9,1.0,0.0,0.0,0.0,280.1,45.0,6.0,20.0,5.0
Rice Chex,3,1.0,100,5,0.5,0.0,0.0,0.0,220.3,21.0,1.0,2.0,2.0
"Sesame, Almond, Seed & Cranberry Blend",3,0.25,160,90,10.0,1.0,0.0,0.0,90.1,14.0,2.0,7.0,4.0
Toastie O's,3,1.0,120,18,2.0,0.0,0.0,0.0,150.1,22.0,3.0,0.0,4.0
Tootie Fruities,3,1.0,130,9,1.0,0.0,0.0,0.0,150.1,2.0,1.0,15.0,2.0
Total,3,0.75,110,5,0.5,0.0,0.0,0.0,139.9,25.0,3.0,5.0,2.0
Bagel Cinnamon Raisin,3,1.0,339,23,2.5,0.0,0.0,0.0,350.0,66.0,3.0,8.0,11.0
Bagel Everything,3,1.0,280,9,1.0,0.0,0.0,0.0,350.0,56.0,2.0,6.0,11.0
Bagel Multigrain,3,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bagel Plain,3,1.0,422,28,3.1,0.0,0.0,0.0,436.0,82.2,3.7,10.0,13.7
"Bread, Hearty Multigrain",3,1.0,80,12,1.3,0.0,0.0,0.0,176.7,13.3,0.9,0.0,2.7
"Bread, Hearty Wheat",3,1.0,4,0,0.0,0.0,0.0,0.0,5.5,0.6,0.1,0.0,0.2
"Bread, Raisin",3,1.0,68,5,0.6,0.0,0.0,0.0,153.0,14.7,1.1,3.4,2.3
"Bread, Scali",3,1.0,59,6,0.7,0.2,0.0,0.0,128.4,12.6,2.8,0.0,2.5
"Bread, Sourdough",3,1.0,90,9,1.0,0.0,0.0,0.0,140.1,17.0,0.0,0.0,3.0
"Bread, Stone Ground Whole Wheat",3,1.0,80,9,1.0,0.0,0.0,0.0,120.0,13.0,2.0,1.0,5.0
"Bread, White Pita",3,1.0,116,0,0.0,0.0,0.0,0.0,340.0,34.0,0.0,0.0,6.0
Wheat Bread,3,1.0,80,9,1.0,0.0,0.0,0.0,160.1,15.0,1.0,1.0,3.0
White Bread,3,1.0,80,9,1.0,0.2,0.0,0.0,148.5,14.8,0.8,1.5,2.8
Fat Free Cottage Cheese,3,3.0,53,0,0.0,0.0,0.0,0.0,308.6,3.8,0.0,3.4,9.8
Grated Parmesan Cheese,3,1.0,122,73,8.1,4.9,0.0,24.9,433.5,1.2,0.0,0.3,10.9
All Natural Peanut Butter,3,1.0,168,128,14.2,1.8,0.0,0.0,110.7,6.2,2.7,0.9,7.1
Applesauce,3,3.0,35,0,0.0,0.0,0.0,0.0,7.0,9.1,1.4,6.3,0.0
Butter Whipped,3,0.5,76,78,8.6,5.5,0.3,22.9,1.2,0.0,0.0,0.0,0.1
Grape Preserves,3,1.0,71,0,0.0,0.0,0.0,0.0,7.1,18.4,0.0,14.2,0.0
Low Fat Strawberry Yogurt,3,4.0,121,9,1.0,0.8,0.0,5.0,65.5,24.7,0.0,20.7,3.5
Plain Cream Cheese,3,1.0,97,88,9.7,5.5,0.3,31.2,91.0,1.2,0.0,0.9,1.7
Plain Nonfat Greek Yogurt,3,4.0,65,0,0.0,0.0,0.0,5.0,47.5,5.0,0.5,3.5,11.5
Raspberry Preserves,3,1.0,79,0,0.0,0.0,0.0,0.0,9.1,19.5,0.3,13.8,0.1
Smart Balance,3,0.5,100,99,11.0,3.5,0.0,0.0,90.0,0.0,0.0,0.0,0.0
Sunflower Seeds,3,1.0,166,132,14.6,1.3,0.0,0.0,2.6,5.7,2.4,0.7,5.9
Unsalted Butter,3,0.5,91,93,10.3,6.6,0.4,27.4,1.4,0.0,0.0,0.0,0.1
"Dressing, Asiago Fresco",3,1.0,142,128,14.2,2.8,0.0,9.5,226.8,0.9,0.0,0.0,0.0
"Dressing, Balsamic Vinaigrette",3,1.0,113,102,11.3,1.4,0.0,0.0,151.2,2.8,0.0,1.9,0.0
"Dressing, Blue Cheese",3,1.0,142,136,15.1,3.3,0.0,9.5,189.0,0.0,0.0,0.0,0.9
"Dressing, Chianti Vinaigrette",3,1.0,161,162,18.0,2.4,0.0,0.0,198.5,1.9,0.0,0.9,0.0
"Dressing, Citrus Vinaigrette",3,1.0,33,13,1.4,0.0,0.0,0.0,406.4,5.7,0.0,4.7,0.0
"Dressing, Creamy Vegetarian Caesar",3,1.0,104,94,10.4,1.9,0.0,4.7,226.8,0.9,0.0,0.9,0.9
"Dressing, Lo Cal Italian",3,1.0,14,9,0.9,0.0,0.0,0.0,349.7,1.9,0.0,1.9,0.0
"Dressing, Ranch",3,1.0,76,68,7.6,1.4,0.0,4.7,198.5,1.9,0.0,0.9,0.9
"Dressing, Red Wine Vinaigrette",3,1.0,62,47,5.2,0.5,0.0,0.0,302.1,3.1,0.0,2.1,0.0
"Dressing, Russian",3,1.0,76,51,5.7,0.9,0.0,4.7,255.2,5.7,0.0,2.8,0.0
"Dressing, Tuscan Sundried Tomato",3,1.0,95,77,8.5,0.9,0.0,0.0,302.4,4.7,0.9,3.8,0.0
Honey Mustard Dressing,3,1.0,227,153,17.0,1.9,0.0,9.5,207.9,9.5,0.0,11.3,0.0
Mayonnaise,3,1.0,122,110,12.2,0.0,0.0,0.0,192.4,2.0,0.0,0.0,0.0
1% Milk,3,8.0,103,22,2.4,1.6,0.1,12.3,108.2,12.3,0.0,12.3,8.3
"Beverage, Cherry Cola",3,8.0,83,0,0.0,0.0,0.0,0.0,9.0,21.5,0.0,20.2,0.2
"Beverage, Coke",3,8.0,90,0,0.0,0.0,0.0,0.0,29.1,24.3,0.0,24.3,0.0
"Beverage, Diet Coke",3,8.0,1,0,0.0,0.0,0.0,0.0,10.0,0.1,0.0,0.0,0.0
"Beverage, Ginger Ale",3,8.0,84,0,0.0,0.0,0.0,0.0,23.3,22.3,0.0,22.3,0.0
"Beverage, Iced Tea Unsweetened",3,8.0,0,0,0.0,0.0,0.0,0.0,27.8,0.0,0.0,0.0,0.0
"Beverage, Lemon Lime Powerade",3,8.0,73,1,0.1,0.0,0.0,0.0,50.0,17.8,0.0,13.9,0.0
"Beverage, Light Lemonade",3,8.0,48,0,0.0,0.0,0.0,0.0,14.4,13.4,0.0,11.5,0.0
"Beverage, Mountain Blast Powerade",3,8.0,51,0,0.0,0.0,0.0,0.0,44.2,13.5,0.0,10.7,0.0
"Beverage, Orange",3,8.0,101,0,0.0,0.0,0.0,0.0,32.0,27.5,0.0,27.5,0.0
"Beverage, Pink Lemonade",3,8.0,91,1,0.1,0.0,0.0,0.0,9.1,23.7,0.0,22.7,0.2
"Beverage, Rootbeer",3,8.0,93,0,0.0,0.0,0.0,0.0,29.5,24.1,0.0,24.1,0.0
"Beverage, Sprite",3,8.0,91,0,0.0,0.0,0.0,0.0,20.4,23.0,0.0,20.4,0.1
"Beverage, Sprite Zero",3,8.0,0,0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0
Chocolate Milk,3,8.0,180,23,2.5,1.5,0.0,15.0,230.0,31.0,0.0,29.0,8.0
Hot Chocolate,3,8.0,106,11,1.2,0.0,0.0,0.0,141.8,23.6,0.0,22.4,0.0
"Juice, Apple",3,8.0,120,0,0.0,0.0,0.0,0.0,10.0,29.0,0.0,28.0,0.0
"Juice, Cranberry",3,8.0,140,0,0.0,0.0,0.0,0.0,10.0,34.0,0.0,33.0,0.0
"Juice, Grape",3,8.0,130,0,0.0,0.0,0.0,0.0,10.0,33.0,0.0,32.0,0.0
"Juice, Grapefruit",3,8.0,130,0,0.0,0.0,0.0,0.0,10.0,32.0,0.0,31.0,0.0
"Juice, Orange",3,8.0,75,0,0.0,0.0,0.0,0.0,12.4,17.4,0.0,14.9,1.2
Plain Soy Milk,3,8.0,84,29,3.3,0.9,0.0,0.0,74.7,8.4,0.9,5.6,6.5
Skim (Fat Free) Milk,3,8.0,83,2,0.2,0.1,0.0,4.9,102.9,12.2,0.0,12.2,8.3
Vanilla Soy Milk,3,8.0,68,17,1.9,0.4,0.0,0.0,111.1,9.3,0.2,6.6,3.6
"Water, Cucumber Aquahealth",3,8.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Water, Lemon Aquahealth",3,8.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Water, Lime Mint Aquahealth",3,8.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Water, Rasperry Aquahealth",3,8.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,
